DictWordID,HoaBun,HanLoTaibunPoj,,,
1,九層塔,九層塔,gau-zàn-tāh,Kau2can3thah4,Káu-chàn-thah
2,口香糖,樹奶糖,ciū-līng/nī-tňg,Chiu7ling1/ni1thng5,Chhiü-ni-th£g
3,土司,俗麭,siok-pàng,Siok8phang2,Siõk-pháng
4,大白菜,包心白仔,bāu-sīm-beh-à,Pau1sim1beh8a2,Pau-sim-bçh-á
5,大黃瓜,刺瓜仔,cì-gūe-à,Chi3kue1a2,Chhì-koe-á
6,大蒜,蒜頭,sùan-tău,Suan3thau5,Sòan-thâu
7,小黃瓜,"娘仔瓜、
 瓜仔連","niū-a-gue
 gūe-a-nĭ","Niu5a2kue1
 Kue1a2ni5","Niû -á-koe
 Koe-á-nî"
8,小糖球,金含仔,gīm-gām-à,Kim1kam5a2,Kim-kâm-á
9,五花肉,三層肉,sām-zā-bhāh,Sam1can5bah4,Sam-chân-bah
10,什錦麵,雜菜麵,zap-cài-mī,Cap8chai3mi7,Chap-chhài-m„
11,木瓜,木瓜,bhok-gue,Bok8kue1,Bõk-koe
12,木耳,木耳,bhok-nì,Bok8ni2,Bõk-ní
13,水蜜桃,水蜜桃,zui-bhit-tŏr,Cui2bit8tho5,Chúi-b…t-thô
14,牛舌餅,牛舌餅,ghū-zih-biàn,Gu5cih8piann2,Gû-ch…h-piá°
15,牛軋糖,"糖蔥
 牛皮糖","tng-cang
 ghū-pūe-tňg","Thng5chang1
 Gu5phue5thng5","Th£g-chhang
 Gû-phôe-th£g"
16,牛腱,腱子肉,giàn-zi-bhāh,Kian3ci2bah4,Kiàn-chí-bah
17,牛蒡,牛蒡,"ghū-bŏng
 ghū-bòng","Gu5pong5
 Gu5po2","Gû-pông
 Gû-p¯"
18,冬瓜,冬瓜,dāng-gue,Tang1kue1,Tang-koe
19,四季豆,敏豆,bhin-dāu,Bin2tau7,Bín-täu
20,奶油,"牛油、
 牛奶油、","ghū-iŭ
 ghū-ni/līng-iŭ","Gu5iu5
 Gu5ni1/ling1iu5","Gû-iû
 Gû-ni-iû"
21,奶粉,牛奶粉,ghū-nī/līng-hùn,Gu5ni1/ ling1hun2,Gû-ni/ling-hún
22,玉米,番麥,hūan-bheh,Huan1beh8,Hoan-bçh
23,甘蔗,甘蔗,gām-zia,Kam1-cia3,Kam-chià
24,"蕃藷、地瓜",番薯,hān-zŭ/zĭ,Han1cu5/ci5,Han-chû/chî
25,生魚片,sa7-si-mih4,sā-si-mīh,Sa1si1mih4,Sä-si-mih
26,白飯,白飯,beh-bn̄g,Peh8png7,Pçh-p¤g
27,白糖,白糖,beh-tňg,Peh8thng5,Pçh-th£g
28,白蘿蔔,菜頭,cài-tău,Chai3thau5,Chhài-thâu
29,皮蛋,皮蛋,pī-dan,Phi5tan3,Phî-tàn
30,石榴,榭榴,sia-liŭ,Sia7liu5,Siä-liû
31,冰枝,霜仔冰,sn̄g -à bing,Sng1a2/ Ping1,Sng-á/peng
32,冰棒,枝仔冰,gī-a-bing,Ki1a2ping1,Ki-á-peng
33,冰塊,冰角,bīng-gāk,Ping1kak4,Peng-kak
34,冰糖,"冰糖
 糖霜","bīng-tňg
 tng-sng","Ping1thng5
 Thng5sng1","Peng-th£g
 Th£g-sng"
35,吃素,食菜,ziah-cai,Ciah8chai3,Chiãh-chhài
36,吃稀飯,食糜,ziah-mŭe/bhĕ,Ciah8mue5/be5,Chiãh-môe/bê
37,吃葷,食臊,ziah-cor,Ciah8cho1,Chiãh-chho
38,地瓜粉,蕃薯粉,hān-zī-hùn,Han1ci5hun2,Han-chî-hún
39,地瓜稀飯,蕃薯糜 蕃薯簽糜,hān-zī-mŭe/bhĕ hān-zī-ciām-mŭe,"Han1ci5mue5/be5
 Han1ci5chiam1mue5",Han-chî-môe/ bê Han-chî-chhiam-môe
40,年糕,甜粿,dīn-gùe/gè,Tinn1kue2/ke2,Ti°-kóe/ké
41,早點,早頓,za-dng,Ca2tng3,Chá-t¢g
42,百香果,時計果 薜荔果 酸荔果,"sī-gè-gòr
 sì-lai/nai-gòr
 sn̄g-lai/nai -gòr",Si5ke3ko2 Sih4lai7/nai7ko2 Sng1lai7/ nai7ko2,"Sî-kè-k¯
 sì-läi/näi-k¯ sng-lä/näi -k¯"
43,竹筍,竹筍,dik-sùn,Tik4sun2,Tek-sún
44,米漿,米奶,bhi-ling,Bi2ling1,Bí-leng
