#高頻但無 ChhoeTaigi 佐證的讀音對（轉換問題或 koktai 特有讀）
#漢字	台羅	次數	方音	語域	例源
丌	e1	19527	ㆤ		01:八德;01:八卦;01:八荒
𣍐	be7	2750	ㆠㄨㆤ˫/ㆠㆤ˫		01:巴巴;01:巴掌·;01:巴不得
𣍐	bue7	2745	ㄅㆤ˪/ㄅㆤ˫/ㆠㄨㆤ˫/ㆠㆤ˫/ㆠㆤㆷ		01:巴巴;01:巴掌·;01:巴不得
伓	m7	2133	ㆬ˫		01:峇里;01:駁;01:薄
付	hoo7	1584	ㄏㆦ˫	語	01:扒;01:扒脫·;01:扒拉·
都	to7	1506	ㄉㄜ˫		01: 拔;01: 拔親;01:罷
事	tsi3	1401	ㄐㄧ˪	語	01: 拔腿;01:把;01:罷
載	tai7	1393	ㄉㄞ˫		01: 拔腿;01:把;01:罷
讀	tse7	727	ㄗㄨㆤ˫/ㄗㆤ˫		01:波動;01:博;01:擺不平
讀	tsue7	725	ㄗㄨㆤ˫/ㄗㆤ/ㄗㆤ˫/ㄗㆥ˫		01:波動;01:博;01:擺不平
或	iah8	663	ㄧㄚㆷ ͘		01:八哥;01:巴巴;01:話把兒
火	ho2	533	ㄏㄜˋ/ㄏㄨㆤˋ/ㄏㆤ/ㄏㆤˋ		01:巴;01:扒;01:把
復	ko3	412	ㄍㄜ˪/ㄍㄜㆷ		01:蠶箔;01:屢踣/屢起;01:掰文兒
字	siann2	391	ㄒㄧㄚˋ/ㄒㄧㆩˋ/ㄒㄧㆬ˫		01: 拔河;01:駁辯;01:悲觀
讀	ko3	310	ㄍㄜ˪/ㄍㄜㆷ		15:醒兒;15:須;15:接腳壻
讀	koh4	308	ㄍㄜ˪/ㄍㄜㆷ		15:醒兒;15:須;15:接腳壻
恁	lin3	298	ㄌㄧㄣ˪/ㆢㄧㄣ˪	文	01:輩;01:薄;01:暴
𢙠	in1	291	ㄧㄣ		01:輩;01:包涵兒;01:保
加	ka7	279	ㄍㄚ˫		01:巴掌·;01:扒拉·;01:把
爾	ne1	272	ㄋㄧ/ㄋㆤ		01:悲;01:唄;01:辦
爾	ni1	263	ㄋㄧ/ㄋㄧˋ/ㄋㆤ		01:悲;01:唄;01:辦
則	tsiah4	257	ㄐㄧㄚㆷ	白	01:冰;01:毛病;01:爬
㘹	tsia1	192	ㄐㄧㄚ		01:扒頭·兒;01:把;01:僻
讀	tng2	181	ㄉㆭˋ		01:眼巴巴兒;01:駁;01:駁回
字	sann2	168	ㄒㄧㄚˋ/ㄒㄧㆩˋ/ㄒㄧㆩ˪/ㄒㄧㆬ˫		05:短長;06:太;06:頭·
字	sia2	147	ㄒㄧㄚˋ/ㄒㄧㆩˋ/ㄒㄧㆩ˪/ㄒㄧㆬ˫		01:把戲;01:駁辯;01:膀兒
裏	lin3	147	ㄋㄧㆷ/ㄌㄧˋ/ㄌㄧㄣ˪		01:繃;01:別;01:賓
失	sip4	125	ㄒㄧㆴ		01:不恭;03:意亂神迷;04:覆水
提	theh4	123	ㄊㄨㆤㆷ ͘/ㄊㆤˊ/ㄊㆤㆷ		01:百;01:調包;01:憋
棵	khoo1	111	ㄎㆦ		01:抱;01:棒槌;01:繃
了	la3	104	ㄌㄚ˪		01:頒;01:半;01:榜
底	to2	99	ㄉㄚˋ/ㄉㄜˋ/ㄉㄨㆤˋ/ㄉㆤˋ		01:奔;01:部;02:彷徨
飰	png7	99	ㄅㆭ˫		01:扒拉·;01:飽;01:餔
呰	tsiah4	92	ㄐㄧㄚㆷ		01:不由的;02:配;05:點…燈
入	lip4	89	ㄌㄧㆴ/ㆢㄧㆴ ͘		01:百合;01:扒拉·;02:扒拉·
逫	tue3	87	ㄉㄨㆤ˪/ㄉㆤ˪		01:鰾;03:馬首是瞻;03:盲從
㩵	hinn3	84	ㄏㄧㄚㆵ/ㄏㆪ˪/ㄏㆮ˪		01:擺動;01:幫兒;02:拋
閑	ing5	82	ㄧㄥˊ		01:奔忙;01:壁上觀;01:表
𫁥	tiam3	79	ㄉㄧㆰ˪		01:扒;01:道白;01:擺來擺去
著	tiau5	77	ㄉㄧㄜㆷ ͘/ㄉㄧㄠˊ		01:巴;01:巴鍋;01:鍋巴
鬦	tau3	77	ㄉㄠ˪		05:耷拉·;05:打連戀/打聯聯;05:得力
趴	peh4	74	ㄅㆤㆷ		01:屢踣/屢起;01:㧍;02:撲虎兒
孲	a2	74	ㄚˋ		01:背;01:笛兒;01:辮子·(/兒)
𢗾	gong7	71	ㆣㆲ˫		03:瞀;03:顢頇·;03:夢想
鬏	tshiu1	69	ㄑㄧㄨ		03:抹/<glyph:k/9;06:一條藤兒;06:剃
揢	khueh4	65	ㄎㄨㆤㆷ/ㄎㆤㆷ		01:逼仄;03:摩肩接踵;03:摩肩擦背
䫀	kun2	62	ㄍㄨㄣˋ		01:脖子·;01:脖兒;01:脖頸(/梗)子·
掌	tsing2	61	ㄐㄧㄥˋ		01:擘;01:併;01:病入膏肓
滯	tua3	60	ㄉㄨㄚ˪		01:薜蘿;04:分;05:待/在
認	lim7	58	ㄌㄧㄣ˫/ㄌㄧㆬ˫/ㆢㄧㄣ˫/ㆢㄧㆬ˫	文	01:駁回;01:逼勒;01:表情
乞	khi3	57	ㄎㄧ˪/ㄎㄧㆵ	語	01:扒脫·;01:把;01:白白兒地
轉	tin2	56	ㄉㄧㄣˋ		01:扒拉·;01:波及;01:搏
埪	khang1	55	ㄎㄤ		02:紐襻兒;02:碰破;04:蜂房
䖒	hui5	54	ㄏㄨㄧˊ		01:啪拉;02:啪拉;02:胚子·
少	sio2	51	ㄒㄧㄜˋ		01:薄酬;01:淡薄;01:繃
厾	tuh4	50	ㄉㄨㆷ	白	01:扒拉·;03:假寐;05:打盹兒
更	ko3	50	ㄍㄜ˪/ㄍㄜㆷ		01:㞎;01:比照;01:毖
㜁	tsa1	50	ㄗㄚ		02:潑;03:分娩;03:面首
裡	lin3	49	ㄌㄧㄣ˪		01:播;01:白頭如新;01:暴發
自	ti7	49	ㄉㄧ˫/ㄍㄧ˫		05:獨;09:各人;09:各自
處	te3	49	ㄉㆤ˪		01:憋得慌;03:枚舉;03:啞謎
機	kue1	48	ㄍㄧ/ㄍㄨㆤ/ㄍㆤ		01:鉋床;01:泵;01:毛病
努	noo2	48	ㄋㆦˋ/ㄌㆦˋ		01:筆畫;02:拼命;03:奮勉
逫	te3	48	ㄉㄨㆤ˪/ㄉㆤ˪		03:馬首是瞻;04:附和;06:挑
地	to1	47	ㄉㄜ		01:暴斃;02:盤;02:蹣跚
用	ing3	45	ㄧㄥ˪/ㄧㄥ˫/ㄧㆲ˫		01:搬;01:死板;01:喯
挱	so1	45	ㄙㄜ		03:摩挲;03:摩挱;03:撫摩
過	kuh8	44	ㄍㄜ/ㄍㄜ˪/ㄍㄜㆷ ͘/ㄍㄨㆷ ͘		01:輩兒;03:嫫母;03:羨慕
鬪	tau3	44	ㄉㄠ˪		02:配;02:賽跑;07:擰
嘪	mai3	42	ㄇㄞ˪		01:別;01:表;01:只要…便是… 也… 
𥦌	lang3	42	ㄌㄤ˪	白	05:容…當;06:逃走;06:騰
𢭙	khioh4	41	ㄎㄧㄜㆷ		01:把;03:枚;03:免稅
恰	kah4	40	ㄍㄚㆷ		01:不;02:旁若無人;03:毛骨竦然
了	lo1	39	ㄌㄜ		01:罷了;05:打挺兒;05:掉架兒
豪	gau5	39	ㆣㄠˊ		01:豹變;01:棒;02:剽悍
及	kap8	38	ㄍㄚㆴ ͘	文	01:文白夾雜;01:鞁;01:本
㾪	san2	38	ㄙㄢˋ	白	01:薄田;01:薄;01:乾癟
丈	ta1	38	ㄉㄚ/ㄗㄚ		04:夫;05:當家;06:童子·
挱	sa1	38	ㄙㄚ		03:麻撒·;05:得;06:頭腦
宿	siu7	37	ㄒㄧㄨ˫		01:趴窩兒;02:趴窩兒;02:盤窩
䟜	lap4	37	ㄌㄚㆴ		05:蹬/登;05:鐙;06:蹚
別	pat4	36	ㄅㄚㆵ	白/語	01:扒拉·;01:駁運;01:鼻
而	li7	36	ㄌㄧ˫/ㆢㄧˊ		01:薄;01:暴虎馮河;01:畚箕
許	kua2	36	ㄍㄨㄚˋ/ㄎㄨㄚˋ		01:薄;01:布;01:餔
啊	a3	36	ㄚ˪/ㄚㆷ ͘		01:梆;02:蓬地;02:乓
澤	iah8	36	ㄧㄚㆷ ͘		06:綈;09:光彩;12:翯翯
習	sit8	35	ㄒㄧㆴ ͘/ㄒㄧㆵ ͘		02:普美能;03:粥米;04:風
句	kuh4	35	ㄍㄨㆷ		01:針砭;01:不足掛齒;05:得
翨	sit8	35	ㄒㄧㆵ ͘		01:膀兒;01:畢畢剝剝;01:腷腷膊膊
㴷	tam5	34	ㄉㆰˊ		03:摸;06:溻;06:土
納	lap4	33	ㄌㄚㆴ		06:塌;07:納;07:納稅
斣	siok8	33	ㄒㄧㆦㆶ ͘		03:甩賣;03:毛;04:分
㧡	hainn3	33	ㄏㆮ˪		04:肥;05:盪;05:掉臂
硬	ting7	32	ㄉㄧㄥ˫		01:巴;01:棒;03:母
頇	ham1	32	ㄏㄢ/ㄏㆰ		01:自卑;01:笨;01:笨拙
𠞟	khau1	32	ㄎㄠ		01:鉋;01:錛;01:錛子·
攑	gia5	32	ㆣㄧㄚˊ		05:鬥氣(兒);05:釘;05:短
𧺤	kiu1	32	ㄍㄧㄨ		08:斂足;13:樛;13:拘著
下	ka1	31	ㄍㄚ		01:扒拉·;01:剝落;02:乓
逐	liok4	31	ㄉㄧㆦㆶ ͘/ㄌㄧㆦㆶ/ㆢㄧㆦㆶ		01:北;01:扒拉·;02:扒拉·
瞈	ng3	31	ㆭ˪		01:不承望;02:盼(兒);02:盼
夾	ngeh8	30	ㄍㄧㄚㆴ/ㄫㆤㆷ ͘/ㆣㄧㄚㆴ ͘	漳	07:捏;07:鑷;13:夾
且	tshia2	30	ㄑㄧㄚˋ/ㄑㄧㆩˋ		01:繃;03:姑漫;04:放
咧	le1	29	ㄌㆤ		01:保護;02:漂;03:麻
連	lian7	29	ㄌㄧㄢˊ/ㄌㄧㄢ˫/ㄌㄧㆰˊ		01:罷了;01:薄;01:並
也	ia3	29	ㄧㄚ˪		03:隱瞞;08:褦襶;08:瀝
合	hah4	28	ㄍㄚㆷ/ㄏㄚㆷ		05:搭…腔;05:餖飣;05:襠
搦	liok8	28	ㄌㄚㆶ ͘/ㄌㄧㆦㆶ ͘/ㆢㄧㆦㆶ/ㆢㄧㆦㆶ ͘	文	01:把;06:團;06:摶
喔	oo1	28	ㆦ/ㆦ˪/ㆦㆶ/ㆧ˪		07:哪兒;07:呢;08:咯
蘞	hiam1	28	ㄏㄧㆰ		01:白水(兒);08:蘞(台甘);10:糠
𢫫	lut8	28	ㄌㄨㆵ ͘		06:袒/襢;06:褪;08:捋
亦	iah4	27	ㄧㄚㆷ		01:音波;05:到底;06:體會
佩	phainn7	27	ㄅㄨㆤ˪/ㄆㆮ˫		02:佩(台甘);02:佩;02:襻
㧫	jih8	27	ㄌㄧㆷ ͘/ㆢㄧㆷ ͘		07:捺;07:捺印;07:捺著性子·
食	tsiah4	26	ㄐㄧㄚㆷ		01:吧嗒·;01:徧;01:冰振/冰鎮
叫	tsiau2	26	ㄐㄧㄠˋ		03:貓;13:叫號;13:ㄐ
態	thai2	26	ㄊㄞˋ		02:龐然;08:厲;12:花枝招展
世	sua3	26	ㄙㄨㄚ˪	白	03:曼延;03:漫長;03:蔓延
腔	khionn1	26	ㄎㄧㆧ/ㄎㄧㆫ	語	05:調;09:高腔;10:口音
定	ting3	25	ㄉㄧㄥ˪/ㄉㄧㄥ˫/ㄉㄧㆩ˪		01:必;01:必需;01:表決
甚	sann2	25	ㄒㄧㆩˋ/ㄒㄧㆬˋ/ㄒㄧㆬ˫/ㄙㆩˋ		01:把;05:對症下藥;11:嗯ũ
隘	ueh8	25	ㄧㆤㆶ/ㄨㆤㆷ ͘/ㆤㆷ ͘		01:抱身兒;01:甏;01:褊
㲜	ia7	25	ㄧㄚ˫		01:播;01:播種;02:潑
烆	hiann5	25	ㄏㄧㆩˊ		01:爆;05:豆花;08:爐/鑪
擲	tenn7	25	ㄉㆥ˫/ㄉㆪ˫		06:摶;07:拿住了;07:捏鼻/捏著鼻子·
擦	tshe3	25	ㄘㄨㆤˋ/ㄘㆤ˪		03:摩;03:摩擦;03:摩肩接踵
惡	u2	24	ㄨˋ		12:好;13:疾;13:傢伙
忍	jin2	24	ㄌㄧㆬˋ/ㆢㄧㄣˋ/ㆢㄧㆬˋ		05:打…寒噤;06:硬挺著;12:狠毒
侂	tenn3	24	ㄉㆥ˪		01:繃/<glyph:k/f;03:賣傻;05:打佯兒
察	tshak4	24	ㄘㄚㆵ/ㄘㄚㆶ		01:俾;08:漏空;08:留校
栽	tshai7	24	ㄘㄞ˫		01:彪形;03:毛骨竦然;03:木雞
讀	siann2	23	ㄒㄧㆩˋ		05:淡淡;08:不了;09:個兒(/個子·)
敢	kam1	23	ㄍㆰ/ㄍㆰˋ		01:扒;03:某;07:寧
伓	m1	23	ㆬ		02:派不是;03:嗎;03:莫非…不成
氣	tshi2	23	ㄑㄧˋ		03:悶氣;05:倒霉/楣;06:歎息
者	tsia3	23	ㄐㄧㄚ˪		02:膨脝;03:嚜;05:…的話
伙	ho2	23	ㄏㄜˋ/ㄏㄨㆤˋ/ㄏㆤˋ		05:大家;05:對勁兒;06:討老婆
雅	ga2	23	ㆣㄚˋ		04:風趣;06:踏雪尋梅;06:蘭湯
㧈	king1	23	ㄍㄧㄥ		02:挀;05:打帳子·;05:捯
佝	ku1	23	ㄍㄨ	語	08:佝僂;08:螺窩(/鍋)兒;08:羅鍋
惡	oh4	22	ㄜㆷ		02:頗不易;02:撲朔迷離;03:貌
嫩	nng2	22	ㄋㆭˋ		01:鮊;03:苗條;03:母
掅	tshing2	22	ㄑㄧㄥˋ		01:表功;04:拂;04:拂塵
聚	tsi7	22	ㄐㄧ˫/ㄗㄨ˫		01:部落;05:追悼;06:團聚
