#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
①	phainn2	ㄆㆮˋ	pháiⁿ		1	1			12:壞
①	ke2	ㄍㆤˋ	ké		1	1			14:請…假
②	liau2	ㄌㄧㄠˋ	liáu		1	1			08:廖
②	phian2	ㄆㄧㄢˋ	phián		1	1			09:鋼筆
②	mai2	ㄇㄞˋ	mái		1	1			12:壞
②	ke3	ㄍㆤ˪	kè		1	1			14:請…假
③	liau5	ㄌㄧㄠˊ	liâu		1	1			08:廖
③	ka3	ㄍㄚ˪	kà		1	1			14:請…假
④	lu2	ㄌㄨˋ	lú		1	1			08:廖
④	tsa1	ㄗㄚ	cha		1	1			16:手札
㐾	guan2	ㆣㄨㄢˋ	goán		4	4			12:哈哈;20:咱們·;23:俺
㐾	gun2	ㆣㄨㄢˋ/ㆣㄨㄣˋ	gún	白	4	4			12:哈哈;18:舍下;20:咱們·
㐾	kuan2	ㄍㄨㄢˋ	koán		1	1			25:㐾(普閩)
㑑	lan2	ㄌㄢˋ	lán		14	14			08:嘮;16:捉摸·;20:咱
㑳	tshiu3	ㄑㄧㄨ˪	chhiù		1	1			16:㑳(台甘)
㑳	tsoo3	ㄗㆦ˪	chò͘		1	1			16:㑳(普閩)
㒈	kam2	ㄍㆰˋ	kám		8	8			07:難道;07:難道…不成？;15:許
㒈	kam1	ㄍㆰ	kam		1	1			20:再
㒓	that4	ㄊㄚㆵ	that	文	2	2			06:㒓(台甘);06:㒓(普閩)
㒓	tha2	ㄊㄚˋ	thá		1	1			06:挑達
㒓	thah4	ㄊㄚㆷ	thah	白	1	1			06:㒓(普閩)
㒓	tat8	ㄉㄚㆵ ͘	ta̍t	白	1	1			06:㒓(普閩)
㓔	sia7	ㄒㄧㄚ˫	siā		1	1			08:零落
㓖	pit4	ㄅㄧㆵ	pit		3	3			01:㓖(台甘);01:㓖冹
㓖	pi2	ㄅㄧˋ	pí		2	2			04:㓖冹
㓖	bong5	ㆠㆲˊ	bông		1	1			01:㓖(台甘)
㓖	hut4	ㄏㄨㆵ	hut		1	1			01:㓖(台甘)
㓟	phue1	ㄆㄨㆤ	phoe		1	1			02:片
㓠	tsam7	ㄗㆰ˫	chām		1	1			05:剁
㓦	pik4	ㄅㄧㆤㆶ	pek		1	1			01:㓦(普閩)
㓲	phian2	ㄆㄧㄢˋ	phián		3	3			05:刀刃兒
㓲	phue1	ㄆㄨㆤ	phoe		1	1			05:刀刃兒
㓶	khiat4	ㄎㄧㄚㆵ	khiat		6	6			18:刷;21:擦
㓺	khian3	ㄎㄧㄢ˪	khiàn		2	2			13:矍鑠
㔂	lan5	ㄌㄢˊ	lân	白	3	35	iT,教		08:㔂(普閩);08:㔂
㔂	lin5	ㄌㄧㄣˊ	lîn	文	1	1			08:㔂(普閩)
㔃	hiat4	ㄏㄧㄚㆵ	hiat		2	12	日		01:擺;01:鐘擺
㔊	thuann2	ㄊㄨㆩˋ	thóaⁿ	白	7	7			02:耪;02:平;05:㔊(普閩)
㔊	tan2	ㄉㄢˋ	tán	文	1	1			05:㔊(普閩)
㔊	than2	ㄊㄢˋ	thán		1	1			06:㔊(普閩)
㔊	thuannh4	ㄊㄨㆩㆷ	thoaⁿh		1	1			17:鏟
㔏	leh8	ㄌㆤㆷ ͘	le̍h		6	6			08:剺;09:割;09:剮
㔣	tui7	ㄉㄨㄧ˫	tūi		1	1			18:升旗
㔣	lui7	ㄉㄨㄧ˫	lūi		1	1			18:升旗
㔤	sim3	ㄒㄧㆬ˪	sìm		15	15			12:黑魆魆;12:呼搧·/唿搧·;15:㔤(普閩)
㕧	si1	ㄒㄧ	si		1	1			18:呻吟
㕭	pang1	ㄅㄤ	pang		1	1			23:㕭*(台甘)
㕰	hak4	ㄏㄚㆶ	hak		5	5			09:購置;14:頃;15:㕰(普閩)
㕶	ng5	ㆭˊ	n̂g		1	1			18:不聲不響
㕶	ng1	ㆭ	ng		1	1			18:不聲不響
㕻	phui3	ㄆㄨㄧ˪	phùi		3	3			21:啐
㖅	sut8	ㄙㄨㆵ ͘	su̍t		9	9			12:忽哨;12:呼哨;15:噓噓
㖅	sut4	ㄙㄨㆵ	sut		2	2			10:口號;10:口哨
㖅	su3	ㄙㄨ˪	sù		2	2			15:噓噓
㖐	bi5	ㆠㄧˊ	bî		1	1			03:貓
㖠	tai2	ㄉㄞˋ	tái		1	1			06:鐋鑼
㖠	nai1	ㄋㄞ	nai		1	1			08:鑼兒
㖵	khu7	ㄎㄨ˫	khū		8	8			04:發抖;08:雷聲;15:雄
㖹	pun5	ㄅㄨㄣˊ	pûn		4	4			02:㖹(普閩);17:吹;17:吹牛
㖹	phun5	ㄆㄨㄣˊ	phûn		1	1			02:㖹(台甘)
㖿	ie5	ㄧㄝˊ	iê		3	3			24:㖿
㖿	ie1	ㄧㄝ	ie		1	1			13:揀
㗅	oo5	ㆦˊ	ô͘		4	4			09:敢;12:好勁;23: 噢
㗅	or5	ㄛˊ	ô̤		4	4			25:唲嘔
㗅	oo1	ㆦ	o͘		2	2			23: 噢
㗆	khih8	ㄎㄧㆷ ͘	khi̍h		14	14			05:咯噔;05:噔噔地;08:彔彔
㗆	kih8	ㄍㄧㆷ ͘	ki̍h		5	5			01:旁午;09:咯咯;12:橫生
㗆	khih4	ㄎㄧㆷ	khih		4	4			09:咯噔
㗆	kih4	ㄍㄧㆷ	kih		2	2			13:咭咭嗝嗝
