#台羅	漢字（按次數）
a1	仔 阿 啊 亞 鴉 啞 腌 丫 孲 捒 椏 呀 音 喔 呵 臢 枒 抑 旋 緱 忼 咦 洼
a2	孲 仔 阿 啊 抑 啞 百 呵 或 馬 早 猶 也
a3	啊 俹 亞 啞 阿 惡 掗 揞 婭 拗 亦 若 台 喔 也 沛 錏
a5	阿 啊 呵 嗄 咦
a7	阿 也 諾
ah4	抑 鴨 押 壓 啊 亦 仔 益 或 阿 解 工 台 百 也 唉 軋 盒 鮎
ah8	抑 盒 或 匣 亦 壓 押 啊
ai1	哀 唉 挨 埃 哎 㗒 欸 餲 噯
ai2	藹 愛 靉 靄 餲 隘 矮 唉 㗨 音 礙 曖 乃 艾 哎 噯 欸
ai3	愛 唉 隘 曖 噯 嬡 咳 戀 餲 台 呃 靉 藹 嗐 湫 靄 哎 阨 欸 僾 璦
ai5	唉 獃 挨 呆 皚 捱 哎 噯 音 騃 喲
ai7	唉
aih8	唉 噯
ainn1	唉 㗒
ainn3	厄
ainn7	負
ainnh8	唷
ak4	沃 握 偓 渥 齷 喔 鋈 幄 嗌 鷽
ak8	籰
am1	掩 腌 闇 醃 庵 𧌄 奄 鵪 盦 陰 泔 唵 菴 諳 音 揞 含 陽 腤
am2	泔 揞 飲 淊 湆 暗 黯 掩 閼 埯 晻 罯
am3	暗 闇 黯 頷 惡 俺 諳
am5	涵 唵 㼨 或 𥓞
am7	頷 蓊 茂 艷 𧌄 管 領 暗 伓 掩 豔 蝦 頜 枚
an1	安 按 咹 鞍 闇 鵪 厂 喑 銨 盦
an2	按 安 暗 俺 阿 咹 銨 案
an3	按 案 晏 安 斯 宴 桉 焦 司 載 圓 尚 辭 掃 市 兒 缺 績 鈴 吮 恂 皴 鷃
an5	緊 𢰍 緪 恒 恆 難 讀 猌
an7	限 俺 按
ang1	翁 骯 尪 腌 夫 汪 票 尢 尫
ang3	甕 齆 𧝸 瓮 盎
ang5	紅 洋 卬 丌 白 淬 丈 昂 綾 絳 氨
ann1	啞
ann2	仔 揞 倚 向 掩 亞 罯
ann3	亞 揞 向 俹 啊 噁
ann5	攔 啊 援 呱
ann7	餡 誔
annh4	哈
ap4	壓 押 鴨 閘 喔 勒 哈 盒 嗑 霅 唈
ap8	壓 盒 匣 合 狎 盍
at4	遏 閼 斡 軋 揠 折 按 䝟 幹 胺
au1	甌 漚 凹 熬 歐 坳 謳 嗷 慪 區 𥕥 鷗 熰
au2	拗 嘔 毆 坳 懊 澳 媼 文 後 典 靿 燠 敖 敺 鏊 岙 嶴 噢 袎
au3	拗 懊 漚 後 奧 腐 坳 慪
au5	喉 熬 嚎 嚨 咽 敖 鏖 號 爊 螯 嗷
au7	後 后 果 䰖
ba1	笆 峇 麻
ba5	麻 痲 峇 微 貓 雀 蝥 裯
ba7	覓 密 峇 碼 鴟 歪 巴 掠 𨂿 皅
bah4	肉 含 脯 瓷 腊 腜
bai1	微 屄
bai2	䆀 歹 醜 惡 敗 䜴 壞 否 𤶃 𣧲
bai3	𤶃
bai5	眉 埋 楣
bai7	覓 𥌚
baih4	裯
bak4	沐 毣 目 木 汙 染 污 曾 剝 識 腹 墨 幅
bak8	目 墨 木 側 茉 柵 素 賊 識 染 漠
ban1	屘
ban2	挽 折 饅 輓
ban5	饅 閩 蠻 慢 漫 曼 頑 鞏
ban7	萬 慢 顢 漫 瓣 蔓 万 頇 緩 幔 曼 篋
bang1	網
bang2	蚊 蠓 罔 魍 覰 睛 艋 鬼 𧜒 蟒 懵 叮 覷 熅
bang3	嘪
bang5	忙 芒 茫 矇 尨 文 亡 氓 淫
bang7	望 網 夢 綱 莉
bap4	曾 識
bap8	密 曾
bat4	識 曾 白 八 別 密 木 捌 沐 螕 𧧸
bat8	密 墨 木 賊 按 節 屩
bau1	包
bau2	卯 鉚 昴
bau5	矛
bau7	泡 貿
bauh8	貿
be1	咩 𣍐 馬 羋
be2	尾 馬 買 碼 瑪 荸 灣 袜 薺 鐙 椎 鶒 皁
be3	柄
be5	迷 糜 泥 爬
be7	𣍐 未 賣 妹 不 袂 漳 通 文 迷 拍 謎 乜
bee5	麋
beeh4	恥
beh4	要 卜 趴 乜 𣍐 麥 事 築 欲
beh8	麥 襪 脈 袜 語 浮 白 壟
bi1	微 扒
bi2	米 美 尾 靡 瘰 亹 麈 禰 娓 味 文 蕉 牙 灣 麗 彌 鎂 弭 洣 㨻 蛘
bi3	變 味
bi5	微 眉 薇 瞇 咪 維 楣 徵 讀 迷 笑 彌 湄 郿 鎇 㖐 麋 吻 蘼 惟 唯 溦
bi7	味 未 媚 謎 沬 唯 便 湎 寐 維 惟 魅 備 匿 侗 氨
bia2	乜
bian2	免 勉 冕 湎 澠 娩 沔 腼 鮸 俛 鈣
bian5	眠 棉 綿 矏 窅
bian7	面
biat4	滅
biat8	滅 蔑 襪 搣 袜 衊
biau2	渺 藐 杳 眇 緲 邈 窅
biau5	苗 描 薸 貓 錨 瞄
biau7	妙 繆
bih4	覕 匿 避 微 閉 蔑 隱 鱉 慝
bih8	篾 覕 匿 蔑 讀 台
bik4	墨 冒
bik8	默 墨 麥 覓 貉 白 脈 冒 陌 冪 汨 謐
bin1	暝
bin2	敏 刡 抿 黽 閔 給 湣 憫 笢
bin3	面
bin5	民 眠 明 閩 饅 平 名 氓 苠 緡 冥 桯 玟
bin7	面 蝒 象 文 崖 裯
bing1	明
bing2	猛 蜢 皿 勐 艋 錳
bing3	命
bing5	明 名 鳴 盟 冥 銘 萌 會 清 賁 瞑 儚 洺 溟 螟 晣
bing7	命 孟
bio2	母 秒 埤
bio5	描 謀 摹
bio7	廟
bit4	密
bit8	密 蜜 沕 宓 調 滅 替 苾 蝙 䘃 謐
biu1	咱
biu5	繆
biu7	謬 繆
bo2	母 拇 尾 文 寶 拍 弱 保 姥
bo3	無 樁
bo5	無 糜 文 裨 婆
bo7	帽 磨 無 礳 妹
boh4	卜 無 莫
boh8	莫 襪 薄
bok4	木 目 沐 濆 睦
bok8	木 目 牧 莫 漠 睦 沐 寞 穆 匹 摸 鏌 鶩 瞙 幾 的 繆 幕 貉 苜 鉬 蛐 虫
bong1	摸 文 模 濛 檬 搔
bong2	罔 漭 蟒 莽 網 蠓 魍 懵 懞 惘 輞 蠛 蚊
bong3	妄 㩚 摃 槓 惟
bong5	亡 濛 茫 蒙 忘 盲 芒 忙 艨 矇 檬 望 甭 㓖 氓 獴
bong7	望 墓 忘 夢 妄 墳 蒙
boo1	摸 歪
boo2	某 母 牡 畝 妻 姥 呣 丘 離 婦 㟂 黼 呆 拽 尪
boo5	模 謀 牟 蛑 毋 謨 漠 扶 參 膜 苞 摹 蟊 橂 橅
boo7	墓 茂 幕 慕 募 冒 貿 戊 暮 部 袤 楙
bor2	某
bor3	掖
bor5	無 葧
bor7	𬦰
bu1	噗
bu2	母 武 舞 侮 拇 撫 呣 鵡 文 腯 膴 娬 嫵 廡 潕 憮 夾 拍 擘 毋 姥
bu5	無 誣 巫 蕪 毋 南 文 亡 无 侗 佝 嘸 鵐 廡 憮
bu7	務 遇 霧 雺 噴 呣 鶩 婺 騖 司 誣 舞
bua2	滿
bua3	僳
bua5	磨 摩 鰐
buah4	抹 擂
buah8	末 白 捲 茭
buan2	滿 晚 輓 挽 娩
buan5	顢 蹣
buan7	攪
buat4	抹 秣
buat8	末 襪 袜 靺 茉 莉
bue1	飛 𣍐 杯
bue2	尾 買 賣 灣 袜 椎
bue3	𣍐 未
bue5	糜 媒 梅 囮 淖 黴 霉 蟆 𩆸
bue7	𣍐 未 賣 不 妹 讀 背 廈 文 拍 昧 瑁
bueh4	𣍐 乜 事 要 卜
bueh8	襪 沫 袜
buh4	布
buh8	呣 堆 吻
bui1	微 溦 𧑈
bun1	文
bun2	吻 抆 刎 濆 汶
bun3	濆 免 湓 問 噴 鼢 濺 𡌂 瀵
bun5	文 聞 紋 門 蚊 雯 閿 賁 們 鍆 亹 玟 魰 汶
bun7	問 悶 紊 燜 聞 蝒 璺 汶 文 分 抆 面 紋 坌 閿 絻
but4	物 哱 粅 暴 吐 勿
but8	物 沒 𢪱 勿 柫 載 沈 鑢
e1	丌 挨 鍋 萵 唉 個 倭 下 會 仔 苛 萎 誒 蒿 堝 欸 繄
e2	矮 啞 誒 唉 咦 噯 欸 瘂
e3	翳 裔 曳 拽 縊 丌 兮 穢 噎 㹭 曀 瘞 殪 仔 泄 唉 誒 噯 欸 瞖 繄 鷖 勩 嫕 饐
e5	個 鞋 丌 其 的 會 下 諸 己 兮 誒 箇 濣
e7	會 下 能 禍 廈 丌 泉 裔 個 拍 沛 胳 噍 厦 勩
ee1	下 厄 欸
ee2	誒
eh4	厄 呃 噎 唉 楔 噦 噫 阨 軛
eh8	隘 狹 窄 戹 𥢶 厄 阨 頤
enn1	嬰 蠳 蜓 嚶
enn2	喂
enn3	唉
enn5	楹 丌 個
enn7	下
ennh4	呃 嚶
ennh8	咿
ga1	忕
ga2	雅 尬
ga3	呱 塵
ga5	牙 芽 涯 衙 枒 崖 呀 岈 蚜 伢
ga7	訝 砑 迓
gah4	瓦
gai2	騃
gai5	崖 涯 睚 獃 皚 呆 騃 剴 捱 礙 礩
gai7	礙 艾 乂 睚 𣎴
gak4	樂 獄 覺
gak8	樂 獄 岳 嶽 鸑 櫟
gam1	儑
gam2	坎
gam5	巖 岩 癌 啽 碞
gam7	戇 儑 釅 碞
gan1	尷
gan2	眼 鐧 𫝏
gan3	𫝏 嚴 𣸥
